,cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall,CIPCode,CIPTitle
18,09.07,1199,67.2,8.9,74.4,64.0,1.4,64.4,56.0,8.4,2.1,1.9,0.2,3.0,2.0,1.0,2.7,2.1,0.6,2.2,2.1,0.1,0.4,0.4,3.6,18.2,0.4,2.6,4484,2016,,09.07,"Radio, Television, and Digital Communication."
19,09.09,5421,71.4,8.9,73.3,65.6,7.7,64.7,59.5,5.2,1.1,0.8,0.3,2.8,1.9,1.0,1.2,0.7,0.5,3.5,2.7,0.7,0.7,0.3,5.9,16.8,2.2,0.7,38162,2016,,09.09,"Public Relations, Advertising, and Applied Communication."
20,09.01,13862,6.5,82.7,72.9,62.8,1.1,65.0,57.3,7.7,1.0,0.8,0.2,2.7,1.8,0.9,1.0,0.6,0.5,3.1,2.4,0.7,0.8,0.3,7.5,15.1,2.0,1.4,39485,2016,,09.01,Communication and Media Studies.
21,10.02,191,81.2,92.2,88.4,71.6,16.8,66.5,57.4,9.0,1.9,1.3,0.6,7.7,3.9,3.9,9.0,6.5,2.6,3.2,2.6,0.6,0.0,0.6,2.6,7.7,0.0,0.6,34322,2016,,10.02,Audiovisual Communications Technologies/Technicians.
22,10.03,265,8.4,76.5,68.1,54.0,14.1,56.3,46.5,9.9,2.3,0.9,1.4,2.8,2.3,0.5,4.2,1.9,2.3,2.3,2.3,0.0,0.0,0.0,8.5,2.7,2.8,0.0,32857,2016,,10.03,Graphic Communications.
23,11.02,26,8.8,85.7,81.0,71.4,9.5,76.2,66.7,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,4.8,14.3,0.0,0.0,51588,2016,,11.02,Computer Programming.
24,11.04,434,63.1,83.5,78.8,78.1,0.7,71.5,7.8,0.7,1.5,1.5,0.0,1.1,1.1,0.0,0.0,0.0,0.0,4.7,4.7,0.0,0.7,0.4,3.3,16.1,0.4,0.4,54427,2016,,11.04,Information Science/Studies.
25,11.07,9142,69.8,86.8,76.8,74.0,2.8,72.4,7.5,2.0,1.7,1.3,0.4,1.3,1.2,0.2,0.2,0.1,0.1,1.1,1.0,0.2,0.1,0.4,8.2,11.5,1.5,1.5,78199,2016,,11.07,Computer Science.
26,11.08,157,45.2,91.5,83.1,77.5,5.6,74.6,7.4,4.2,0.0,0.0,0.0,4.2,2.8,1.4,1.4,1.4,0.0,2.8,2.8,0.0,0.0,0.0,8.5,8.5,0.0,0.0,49797,2016,,11.08,Computer Software and Media Applications.
27,11.09,228,79.4,9.5,81.2,68.0,13.3,78.5,66.3,12.2,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.6,0.6,0.6,0.0,0.6,0.6,0.6,7.2,8.8,0.6,1.1,6575,2016,,11.09,Computer Systems Networking and Telecommunications.
28,11.10,1764,67.2,8.9,75.1,72.5,2.6,7.5,68.2,2.4,1.0,0.9,0.1,1.4,1.4,0.0,0.2,0.1,0.1,2.0,1.9,0.1,0.1,0.3,4.2,17.6,1.3,1.5,62157,2016,,11.10,Computer/Information Technology Administration and Management.
29,11.01,325,71.5,86.6,79.7,76.0,3.7,73.2,7.1,3.1,1.7,1.5,0.1,2.8,2.4,0.3,0.2,0.2,0.0,1.8,1.7,0.2,0.0,0.6,5.6,12.2,1.1,0.7,593,2016,,11.01,"Computer and Information Sciences, General."
30,13.03,32,78.1,79.2,72.0,64.0,8.0,6.0,52.0,8.0,4.0,4.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,4.0,4.0,36433,2016,,13.03,Curriculum and Instruction.
31,13.10,1762,51.2,86.1,75.1,68.2,6.9,7.8,64.7,6.1,0.4,0.4,0.0,3.0,2.4,0.6,0.4,0.3,0.1,0.3,0.2,0.1,0.3,0.1,9.3,1.8,3.0,1.4,3739,2016,,13.10,Special Education and Teaching.
32,13.12,8423,7.2,83.3,71.2,64.0,7.1,66.4,6.6,5.8,0.4,0.3,0.1,3.7,2.5,1.2,0.2,0.1,0.0,0.6,0.5,0.1,0.9,0.1,1.0,15.1,1.3,1.4,367,2016,,13.12,"Teacher Education and Professional Development, Specific Levels and Methods."
33,13.13,3422,62.6,81.5,69.4,61.2,8.2,65.4,58.6,6.8,0.3,0.3,0.0,2.8,1.7,1.0,0.4,0.0,0.4,0.5,0.5,0.0,0.5,0.6,1.0,16.1,2.2,1.1,39193,2016,,13.13,"Teacher Education and Professional Development, Specific Subject Areas."
34,14.02,1629,78.5,8.3,54.1,52.3,1.8,53.3,51.6,1.7,0.3,0.3,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.2,7.2,18.2,18.7,0.8,0.9,687,2016,,14.02,"Aerospace, Aeronautical and Astronautical Engineering."
35,14.03,25,75.2,84.6,72.3,71.3,1.1,68.1,67.0,1.1,1.6,1.6,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,11.7,13.3,2.1,0.0,56456,2016,,14.03,Agricultural Engineering.
36,14.04,293,87.7,83.7,67.7,67.7,0.0,67.3,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,14.4,13.2,2.7,1.9,57989,2016,,14.04,Architectural Engineering.
37,14.05,2155,79.4,86.8,48.2,46.2,2.0,44.4,43.1,1.3,0.9,0.6,0.2,1.3,1.0,0.3,0.1,0.0,0.1,1.6,1.5,0.2,0.4,0.6,36.6,1.3,2.7,1.2,58348,2016,,14.05,Biomedical/Medical Engineering.
38,14.07,427,81.5,82.6,63.8,62.4,1.4,61.2,6.3,0.9,0.6,0.5,0.0,1.0,0.7,0.3,0.1,0.0,0.0,1.0,0.8,0.1,0.3,0.8,16.9,15.9,1.3,0.9,68239,2016,,14.07,Chemical Engineering.
39,14.08,455,73.5,88.7,69.5,68.4,1.1,66.0,65.1,0.8,1.0,1.0,0.0,0.9,0.9,0.1,0.2,0.2,0.0,1.3,1.1,0.2,0.4,1.3,16.7,9.7,1.4,0.9,5791,2016,,14.08,Civil Engineering.
