,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
145,16.13,,,,,,,16.13,"Celtic Languages, Literatures, and Linguistics."
146,16.14,,,,,,,16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics."
147,16.15,,,,,,,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics."
148,16.16,54358.0,31144.70588235294,32093.815789473683,,35698.72222222222,29526.06349206349,16.16,American Sign Language.
149,16.99,,36168.66666666666,35804.375,31877.0,39221.0,32429.666666666668,16.99,"Foreign Languages, Literatures, and Linguistics, Other."
150,19.00,,,,,,,19.00,Work and Family Studies.
151,19.01,37675.33333333333,30716.46888888889,30509.166944444445,42948.90476190476,34757.26728395062,31057.818055555555,19.01,"Family and Consumer Sciences/Human Sciences, General."
152,19.02,40439.5,41506.57142857143,42616.142857142855,57334.0,49771.125,42312.625,19.02,Family and Consumer Sciences/Human Sciences Business Services.
153,19.04,39876.42857142857,34885.319444444445,36187.74444444444,47850.833333333336,39196.35,38994.18333333333,19.04,Family and Consumer Economics and Related Studies.
154,19.05,32664.214285714286,34603.73455598456,35118.25501253133,42958.307692307695,42608.85526315789,35264.93527131783,19.05,"Foods, Nutrition, and Related Services."
155,19.06,49687.5,40903.5,47271.7,73858.0,45345.0,46323.833333333336,19.06,Housing and Human Environments.
156,19.07,35206.65151515152,29556.09126640555,29664.00150828008,39181.708333333336,32387.32189153439,28480.17086482741,19.07,"Human Development, Family Studies, and Related Services."
157,19.09,,35951.755952380954,35581.565126050424,46711.0,42861.21904761904,35337.75427350427,19.09,Apparel and Textiles.
158,19.10,,,,,,,,
159,19.99,,,,,,50563.0,19.99,"Family and Consumer Sciences/Human Sciences, Other."
160,22.00,34908.545454545456,36225.98,36581.41379310345,44871.78571428572,43574.0,37287.7643678161,22.00,Non-Professional General Legal Studies (Undergraduate).
161,22.01,65572.86388423404,66270.20294302472,64971.48570206675,81955.60718188914,78186.67681498828,66423.77564402811,22.01,Law.
162,22.02,77479.26388888889,62532.94791666666,66533.72430555556,83062.83928571429,66842.17045454546,63318.409259259264,22.02,Legal Research and Advanced Professional Studies.
163,22.03,32269.0,33612.50125396825,33592.690571581195,37439.66666666666,35352.24213836478,32078.399047619045,22.03,Legal Support Services.
164,22.99,68801.4375,54391.232142857145,54645.319444444445,79636.0,62270.9,49419.81,22.99,"Legal Professions and Studies, Other."
165,23.01,27661.25443889444,28906.88327063149,29062.488603885344,33283.298478722536,34862.68865198631,29566.101724456283,23.01,"English Language and Literature, General."
166,23.13,35872.475,32369.9155,32274.19034758965,36630.00245098039,37265.13185817806,31632.286440638632,23.13,Rhetoric and Composition/Writing Studies.
167,23.14,,25239.4,26474.416666666668,,35120.625,27166.85714285714,23.14,Literature.
168,23.99,25622.33333333333,28919.85714285714,28407.375,,39083.16666666666,31963.833333333336,23.99,"English Language and Literature/Letters, Other."
169,24.01,31344.676054774194,27355.100740136582,28433.85015160752,35130.899984288946,31437.68519045109,28242.968598889856,24.01,"Liberal Arts and Sciences, General Studies and Humanities."
170,25.01,43878.5,44063.83095238095,44054.49285714285,46892.35294117647,47273.96717171717,43941.33095238095,25.01,Library Science and Administration.
171,25.03,,,,,,,25.03,Library and Archives Assisting.
172,25.99,,47654.5,52588.66666666666,,51339.0,49084.0,25.99,"Library Science, Other."
173,26.01,28245.646349304818,27595.510173656,27809.57976630765,39508.65877421221,37262.14692452028,28894.86019013841,26.01,"Biology, General."
174,26.02,31947.383928571428,32406.604761904764,31763.166209470804,43494.5183982684,41702.52549019608,32359.18030952381,26.02,"Biochemistry, Biophysics and Molecular Biology."
175,26.03,,31657.0,27599.2,,,24895.0,26.03,Botany/Plant Biology.
176,26.04,31101.964285714286,29673.32,32171.43923611111,38684.42424242425,40510.857142857145,35528.96141975309,26.04,Cell/Cellular Biology and Anatomical Sciences.
177,26.05,32133.366666666665,34265.032608695656,32806.26960784314,45504.5,41205.794117647056,36318.74071428572,26.05,Microbiological Sciences and Immunology.
178,26.07,24710.14583333333,23887.27361111111,25010.48148148148,35649.40909090909,30029.1125,27124.18279569892,26.07,Zoology/Animal Biology.
179,26.08,32233.0,42244.2,34226.444444444445,42952.0,52863.4,44440.0,26.08,Genetics.
180,26.09,27046.825,30467.24305555556,29882.43764367816,37877.7037037037,44292.92156862745,32455.662222222225,26.09,"Physiology, Pathology and Related Sciences."
181,26.10,34358.0,72109.0,50624.41666666666,,,45030.4,26.10,Pharmacology and Toxicology.
182,26.11,69570.0,79400.75,65340.333333333336,83994.0,75263.0,67499.59615384616,26.11,"Biomathematics, Bioinformatics, and Computational Biology."
183,26.12,52464.857142857145,45974.42857142857,54357.0873015873,59641.66666666666,54305.875,52699.77272727273,26.12,Biotechnology.
184,26.13,33192.65476190476,36103.31904761904,36320.63853398853,43622.03125,45058.69791666666,35708.11151866151,26.13,"Ecology, Evolution, Systematics, and Population Biology."
185,26.14,,,,,,,26.14,Molecular Medicine.
186,26.15,26852.384722222225,27004.77857142857,28021.58041666667,37213.33,39040.005,29010.00245098039,26.15,Neurobiology and Neurosciences.
187,26.99,28697.11111111111,37317.769230769234,36410.39473684211,41388.28571428572,36883.29166666666,43300.25,26.99,"Biological and Biomedical Sciences, Other."
188,27.01,47673.739583333336,43097.75414965986,44541.726712677126,60094.31640316206,50586.98292517007,44948.89123876611,27.01,Mathematics.
189,27.03,60441.85666666667,57650.49583333333,61828.62643678161,76260.19333333333,64587.625,57578.38988095238,27.03,Applied Mathematics.
190,27.05,66336.86111111111,59154.25,61427.35483870968,83325.53846153847,65246.62962962963,67208.68308702791,27.05,Statistics.
191,27.06,,,,,,,,
192,27.99,56269.333333333336,64620.0,60231.857142857145,79272.0,90925.0,63763.57142857143,27.99,"Mathematics and Statistics, Other."
193,28.01,,,,,,,28.01,"Air Force ROTC, Air Science and Operations."
194,28.03,,,,,,,28.03,"Army ROTC, Military Science and Operations."
195,28.05,,,69340.0,,,58673.0,28.05,Military Science and Operational Studies.
196,28.06,,,71484.0,,,57798.0,28.06,Security Policy and Strategy.
197,29.02,58580.0,42665.0,56823.57142857143,57600.25,42416.0,48927.71428571428,29.02,"Intelligence, Command Control and Information Operations."
198,29.03,,,88876.0,61042.0,,56415.0,29.03,Military Applied Sciences.
199,29.04,37309.0,,37861.0,,,,29.04,Military Systems and Maintenance Technology.
200,29.99,,,,61556.0,,54869.0,29.99,"Military Technologies and Applied Sciences, Other."
201,30.00,33153.93157894737,32503.64642857143,31743.92105263158,38425.43452380953,38959.30158730159,33155.52546296296,30.00,"Multi-/Interdisciplinary Studies, General."
202,30.01,37428.79761904762,30351.07391304348,31568.25070028011,46077.708333333336,39328.04090909091,31020.93383838384,30.01,Biological and Physical Sciences.
203,30.05,38032.333333333336,43843.357142857145,41627.25,57029.66666666666,51546.357142857145,42528.37962962964,30.05,Peace Studies and Conflict Resolution.
204,30.06,63982.333333333336,58547.25,55281.857142857145,72252.25,70358.33333333333,56269.5625,30.06,Systems Science and Theory.
205,30.08,75708.33333333333,54775.0,80867.0,69580.0,,84400.5,30.08,Mathematics and Computer Science.
206,30.10,,,36067.0,,36972.0,35330.0,30.10,Biopsychology.
207,30.11,,39078.0,36771.0,,39369.444444444445,37699.392857142855,30.11,Gerontology.
208,30.12,,35649.666666666664,37936.2,,38728.875,36122.125,30.12,Historic Preservation and Conservation.
209,30.13,,,,,,,30.13,Medieval and Renaissance Studies.
210,30.14,,36653.0,36074.9,,41922.5,36044.75,30.14,Museology/Museum Studies.
211,30.15,50552.5,36542.8,41508.66666666666,67763.33333333333,59972.6,52473.0,30.15,"Science, Technology and Society."
212,30.16,,,,,,35060.0,30.16,Accounting and Computer Science.
213,30.17,39048.90740740741,33213.990740740745,32016.208333333336,38631.98611111111,31143.679487179485,32279.220833333333,30.17,Behavioral Sciences.
214,30.18,5559.0,19265.5,25508.875,,35504.0,29148.444444444445,30.18,Natural Sciences.
215,30.19,29865.0,33289.74523809524,33852.57638888889,40554.0,45251.271604938265,35730.4765625,30.19,Nutrition Sciences.
216,30.20,37217.21111111111,31177.45196078432,35316.3097943723,55063.22807017544,41622.20777777778,35812.13134057971,30.20,International/Global Studies.
217,30.21,,,,,,25194.0,30.21,Holocaust and Related Studies.
218,30.22,,,,,,23817.5,30.22,Classical and Ancient Studies.
219,30.23,,33968.0,33974.0,,30214.0,35540.38888888889,30.23,Intercultural/Multicultural and Diversity Studies.
220,30.25,37595.8,35907.76666666667,38043.01538461538,49635.16666666667,47663.88888888888,39251.75,30.25,Cognitive Science.
